one, two,three
90,2010,12.3
90,2011,12.1
90,2012,12
90,2013,12.9
90,2014,13.2
90,2015,12.6
90,2016,12.8
90,2017,13.1
90,2018,12.6
90,2019,13.8
90,2020,13.3
90,2021,13.2
93,2017,11.3
93,2018,11.2
93,2019,11.7
93,2020,11.4
93,2021,11.6
95,2010,10.1
95,2011,9.8
95,2012,9.6
95,2013,10
95,2014,11
95,2015,11.1
95,2016,11.2
95,2017,10.5
95,2018,10.4
95,2020,11
95,2021,11.3
98,2010,10.9
98,2011,10.7
98,2012,11
98,2013,11.4
98,2014,12.1
98,2015,12.4
98,2016,12.6
98,2017,11.8
98,2018,11.7
98,2019,12
98,2020,11.8
98,2021,12.1
99,2010,10.6
99,2011,10.4
99,2012,10.9
99,2013,11
99,2014,11.4
99,2015,11.6
99,2016,11.7
99,2017,10.5
99,2018,10.5
99,2019,11.3
99,2020,11.2
99,2021,11.5
100,2010,7.2
100,2011,6.8
100,2012,6.5
100,2013,7.5
100,2014,7.7
100,2015,8
100,2016,8.1
100,2017,7.3
100,2018,7.2
100,2019,8.1
100,2020,7.8
100,2021,7.9
101,2010,11
101,2011,10.7
101,2012,10.7
101,2013,11.1
101,2014,12.1
101,2015,12.5
101,2016,12.4
101,2017,11.7
101,2018,11.6
101,2019,12.3
101,2020,12.2
101,2021,12.4
102,2010,10.9
102,2011,10.2
102,2012,10.5
102,2013,10.6
102,2014,11.6
102,2015,11.9
102,2016,11.9
102,2017,11.8
102,2018,11
102,2019,12
102,2020,12.1
102,2021,12.5
104,2010,12.2
104,2011,11.8
104,2012,11.8
104,2013,12.6
104,2014,12.8
104,2015,13.1
104,2016,13.1
104,2017,13.1
104,2018,12.7
104,2019,13.6
104,2020,13.1
104,2021,13.1
105,2010,13
105,2011,12.6
105,2012,12.6
105,2013,13.6
105,2014,13.8
105,2015,13.9
105,2016,13.8
105,2017,13.9
105,2018,13.7
105,2019,14.7
105,2020,14.3
105,2021,14.6
106,2010,12.5
106,2011,12.1
106,2012,12.2
106,2013,13.2
106,2014,13.3
106,2015,13.8
106,2016,14.2
106,2017,14.1
106,2018,13.2
106,2019,13.4
106,2020,12.9
106,2021,13.5
108,2010,12.1
108,2011,12
108,2012,12.2
108,2013,12.5
108,2014,13.4
108,2015,13.6
108,2016,13.6
108,2017,13
108,2018,12.9
108,2019,13.5
108,2020,13.2
108,2021,13.7
112,2010,12.3
112,2011,12
112,2012,12.1
112,2013,11.9
112,2014,12.8
112,2015,13.1
112,2016,13.3
