지점,지점명,일시,평균기온(°C)
90,속초,2010,12.3
90,속초,2011,12.1
90,속초,2012,12
90,속초,2013,12.9
90,속초,2014,13.2
90,속초,2015,12.6
90,속초,2016,12.8
90,속초,2017,13.1
90,속초,2018,12.6
90,속초,2019,13.8
90,속초,2020,13.3
90,속초,2021,13.2
93,북춘천,2017,11.3
93,북춘천,2018,11.2
93,북춘천,2019,11.7
93,북춘천,2020,11.4
93,북춘천,2021,11.6
95,철원,2010,10.1
95,철원,2011,9.8
95,철원,2012,9.6
95,철원,2013,10
95,철원,2014,11
95,철원,2015,11.1
95,철원,2016,11.2
95,철원,2017,10.5
95,철원,2018,10.4
95,철원,2020,11
95,철원,2021,11.3
98,동두천,2010,10.9
98,동두천,2011,10.7
98,동두천,2012,11
98,동두천,2013,11.4
98,동두천,2014,12.1
98,동두천,2015,12.4
98,동두천,2016,12.6
98,동두천,2017,11.8
98,동두천,2018,11.7
98,동두천,2019,12
98,동두천,2020,11.8
98,동두천,2021,12.1
99,파주,2010,10.6
99,파주,2011,10.4
99,파주,2012,10.9
99,파주,2013,11
99,파주,2014,11.4
99,파주,2015,11.6
99,파주,2016,11.7
99,파주,2017,10.5
99,파주,2018,10.5
99,파주,2019,11.3
99,파주,2020,11.2
99,파주,2021,11.5
100,대관령,2010,7.2
100,대관령,2011,6.8
100,대관령,2012,6.5
100,대관령,2013,7.5
100,대관령,2014,7.7
100,대관령,2015,8
100,대관령,2016,8.1
100,대관령,2017,7.3
100,대관령,2018,7.2
100,대관령,2019,8.1
100,대관령,2020,7.8
100,대관령,2021,7.9
101,춘천,2010,11
101,춘천,2011,10.7
101,춘천,2012,10.7
101,춘천,2013,11.1
101,춘천,2014,12.1
101,춘천,2015,12.5
101,춘천,2016,12.4
101,춘천,2017,11.7
101,춘천,2018,11.6
101,춘천,2019,12.3
101,춘천,2020,12.2
101,춘천,2021,12.4
102,백령도,2010,10.9
102,백령도,2011,10.2
102,백령도,2012,10.5
102,백령도,2013,10.6
102,백령도,2014,11.6
102,백령도,2015,11.9
102,백령도,2016,11.9
102,백령도,2017,11.8
102,백령도,2018,11
102,백령도,2019,12
102,백령도,2020,12.1
102,백령도,2021,12.5
104,북강릉,2010,12.2
104,북강릉,2011,11.8
104,북강릉,2012,11.8
104,북강릉,2013,12.6
104,북강릉,2014,12.8
104,북강릉,2015,13.1
104,북강릉,2016,13.1
104,북강릉,2017,13.1
104,북강릉,2018,12.7
104,북강릉,2019,13.6
104,북강릉,2020,13.1
104,북강릉,2021,13.1
105,강릉,2010,13
105,강릉,2011,12.6
105,강릉,2012,12.6
105,강릉,2013,13.6
105,강릉,2014,13.8
105,강릉,2015,13.9
105,강릉,2016,13.8
105,강릉,2017,13.9
105,강릉,2018,13.7
105,강릉,2019,14.7
105,강릉,2020,14.3
105,강릉,2021,14.6
106,동해,2010,12.5
106,동해,2011,12.1
106,동해,2012,12.2
106,동해,2013,13.2
106,동해,2014,13.3
106,동해,2015,13.8
106,동해,2016,14.2
106,동해,2017,14.1
106,동해,2018,13.2
106,동해,2019,13.4
106,동해,2020,12.9
106,동해,2021,13.5
108,서울,2010,12.1
108,서울,2011,12
108,서울,2012,12.2
108,서울,2013,12.5
108,서울,2014,13.4
108,서울,2015,13.6
108,서울,2016,13.6
108,서울,2017,13
108,서울,2018,12.9
108,서울,2019,13.5
108,서울,2020,13.2
108,서울,2021,13.7
112,인천,2010,12.3
112,인천,2011,12
112,인천,2012,12.1
112,인천,2013,11.9
112,인천,2014,12.8
112,인천,2015,13.1
112,인천,2016,13.3
112,인천,2017,12.5
112,인천,2018,12.5
112,인천,2019,13.2
112,인천,2020,12.8
112,인천,2021,13.4
114,원주,2010,12
114,원주,2011,11.7
114,원주,2012,11.4
114,원주,2013,11.9
114,원주,2014,12.8
114,원주,2015,13.6
114,원주,2016,13.4
114,원주,2017,12.1
114,원주,2018,12.4
114,원주,2019,13
114,원주,2020,12.8
114,원주,2021,13
115,울릉도,2010,12.6
115,울릉도,2011,12.1
115,울릉도,2012,11.9
115,울릉도,2013,12.7
115,울릉도,2014,12.8
115,울릉도,2015,13.1
115,울릉도,2016,13.2
115,울릉도,2017,13.1
115,울릉도,2018,13
115,울릉도,2019,13.7
115,울릉도,2020,13.4
115,울릉도,2021,13.5
119,수원,2010,12.2
119,수원,2011,11.8
119,수원,2012,12.1
119,수원,2013,12.3
119,수원,2014,13.1
119,수원,2015,13.5
119,수원,2016,13.6
119,수원,2017,12.6
119,수원,2018,12.7
119,수원,2019,13.2
119,수원,2020,12.9
119,수원,2021,13.4
121,영월,2010,11.2
121,영월,2011,11
121,영월,2012,10.8
121,영월,2013,11.3
121,영월,2014,11.9
121,영월,2015,12.4
121,영월,2016,12.4
121,영월,2017,11.7
121,영월,2018,11.5
121,영월,2019,12.1
121,영월,2020,11.9
121,영월,2021,12.1
127,충주,2010,11.5
127,충주,2011,11.4
127,충주,2012,11.5
127,충주,2013,11.8
127,충주,2014,12.2
127,충주,2015,12.7
127,충주,2016,12.9
127,충주,2017,12
127,충주,2018,12
127,충주,2019,12.3
127,충주,2020,12.1
127,충주,2021,12.4
129,서산,2010,11.7
129,서산,2011,11.6
129,서산,2012,11.5
129,서산,2013,11.8
129,서산,2014,12.3
129,서산,2015,12.7
129,서산,2016,12.9
129,서산,2017,12.2
129,서산,2018,12.2
129,서산,2019,12.7
129,서산,2020,12.6
129,서산,2021,13.2
130,울진,2010,12.3
130,울진,2011,12
130,울진,2012,11.9
130,울진,2013,12.8
130,울진,2014,12.9
130,울진,2015,13.2
130,울진,2016,13.2
130,울진,2017,13.2
130,울진,2018,13
130,울진,2019,13.9
130,울진,2020,13.4
130,울진,2021,13.5
131,청주,2010,13
131,청주,2011,12.8
131,청주,2012,12.7
131,청주,2013,13.3
131,청주,2014,13.9
131,청주,2015,14
131,청주,2016,13.9
131,청주,2017,13.4
131,청주,2018,13.5
131,청주,2019,14.2
131,청주,2020,13.9
131,청주,2021,14.4
133,대전,2010,12.7
133,대전,2011,12.6
133,대전,2012,12.6
133,대전,2013,13.1
133,대전,2014,13.4
133,대전,2015,14
133,대전,2016,14
133,대전,2017,13.4
133,대전,2018,13.5
133,대전,2019,14
133,대전,2020,13.7
133,대전,2021,14.3
135,추풍령,2010,11.6
135,추풍령,2011,11.5
135,추풍령,2012,11.2
135,추풍령,2013,11.8
135,추풍령,2014,11.7
135,추풍령,2015,12.2
135,추풍령,2016,12.4
135,추풍령,2017,11.9
135,추풍령,2018,11.9
135,추풍령,2019,12.4
135,추풍령,2020,12
135,추풍령,2021,12.3
136,안동,2010,12.2
136,안동,2011,12.2
136,안동,2012,12.2
136,안동,2013,12.4
136,안동,2014,12.5
136,안동,2015,12.9
136,안동,2016,13.2
136,안동,2017,12.6
